"category","category_name","description"
"IAB1","Arts & Entertainment","Comprehensive content covering all forms of artistic expression, cultural events, and entertainment media. This broad category includes performing arts, digital entertainment, exhibitions, and pop culture. In the Indian context, it encompasses the vibrant ecosystem of traditional heritage, regional arts, local pop culture, and the massive domestic entertainment industry spanning multiple languages and states."
"IAB1-1","Books & Literature","Content related to reading, creative writing, publishing, book reviews, author interviews, and literary festivals (like the Jaipur Literature Festival). It includes regional Indian literature across languages (Hindi, Tamil, Bengali, Malayalam, etc.), Indian English fiction and non-fiction, mythology, poetry, graphic novels, and digital reading or audiobook platforms."
"IAB1-2","Celebrity Fan/Gossip","News, lifestyle updates, rumors, paparazzi coverage, and fandom discussions surrounding famous public figures. This heavily features Bollywood stars, Tollywood and Kollywood actors, Indian television personalities, sports icons, and prominent digital influencers. Includes coverage of celebrity weddings, fashion, airport looks, controversies, and social media activities."
"IAB1-3","Fine Art","Information concerning visual arts, painting, sculpture, photography, art galleries, auctions, and exhibitions. Covers both modern Indian contemporary artists and traditional Indian art forms (such as Madhubani, Warli, Tanjore, and Rajput paintings), as well as classical heritage, historical architecture, and museum collections across India."
"IAB1-4","Humor","Comedic entertainment including stand-up comedy, political satire, internet memes, comic strips, spoof videos, and sketch comedy. This encompasses the booming Indian stand-up comedy scene, regional language jokes, viral social media trends, satirical takes on Indian society and daily life, and popular comedy collectives."
"IAB1-5","Movies","Content focused on film releases, cinema reviews, box office collections, trailers, and film festivals. This covers the massive and diverse Indian film industry, including Bollywood (Hindi cinema), Tollywood (Telugu), Kollywood (Tamil), Mollywood (Malayalam), Sandalwood (Kannada), and other regional cinema, as well as the reception of Hollywood blockbusters in India."
"IAB1-6","Music","Coverage of musical releases, artist profiles, live concerts, music festivals, streaming platforms, and album reviews. This includes a wide spectrum of Indian classical music (Hindustani and Carnatic), Bollywood playback singing, regional folk music, devotional songs (Bhajans/Qawwalis), independent Indian pop (Indie), Punjabi music, and international hits."
"IAB1-7","Television","Content about TV programming, daily schedules, episode recaps, streaming series, and broadcasting network news. Covers Indian daily soaps, reality television shows (such as Bigg Boss, Kaun Banega Crorepati, Indian Idol), regional broadcasting channels, live sports broadcasts, and the rapidly growing market of Indian web series on OTT platforms."
"IAB2","Automotive","Comprehensive content encompassing the entire motor vehicle industry. In India, this covers passenger cars, commercial vehicles, and the massive two-wheeler market. Includes automotive news, OEM manufacturing (Tata Motors, Mahindra, Maruti Suzuki), the Auto Expo, RTO regulations, BS6 emission norms, and general vehicle technology and mobility trends."
"IAB2-1","Auto Parts","Content detailing vehicle components, aftermarket accessories, and OEM replacements. Includes car batteries (Exide, Amaron), tires (MRF, CEAT, Apollo), engine oils, brake pads, and cosmetic modifications. Covers both authorized spare part dealers and local automotive markets like Karol Bagh or Kurla."
"IAB2-2","Auto Repair","Information regarding vehicle maintenance, servicing, and mechanical fixes. Covers authorized brand service centers, local garage mechanics, denting and painting, monsoon health check-ups, wheel alignment, periodic oil changes, and troubleshooting car and bike engine issues."
"IAB2-3","Buying/Selling Cars","Content focused on vehicle transactions, both new and used. Includes car and bike reviews, dealership visits, test drives, RTO registration, automotive financing (EMIs and car loans), and online aggregator platforms like CarWale, CarDekho, and Spinny."
"IAB2-4","Car Culture","Discussions surrounding automotive enthusiasm, driving communities, and lifestyle. In India, this includes road trips to destinations like Ladakh, car and bike modification scenes, motor vlogging, rally racing, automotive photography, and local owner community clubs."
"IAB2-5","Certified Pre-Owned","Information on used vehicles that have been inspected, refurbished, and backed by a manufacturer or dealer warranty. Highlights India's organized second-hand market such as Maruti Suzuki True Value and Mahindra First Choice, focusing on reliability and multi-point quality checks."
"IAB2-6","Convertible","Content about luxury automobiles featuring a retractable or removable roof. A highly niche lifestyle segment in the Indian market, covering both soft-top cabriolets and hard-top convertibles, usually associated with high-end premium and sports car brands."
"IAB2-7","Coupe","Focuses on two-door passenger cars featuring a closed-body style and sloping rear roofline. Represents the premium, sporty aesthetic segment, offering aerodynamic designs and specialized driving dynamics, mostly seen in imported luxury vehicles."
"IAB2-8","Crossover","Content regarding vehicles combining features of a passenger car with those of an SUV. In India, this heavily features the booming sub-4-meter compact SUV segment (like Nexon, Brezza, Creta), offering high ground clearance for Indian roads, practical space, and urban styling."
"IAB2-9","Diesel","Vehicles powered by diesel engines. Content focuses on high torque, fuel efficiency for long highway commutes, and BS6 phase-2 compliance. Also includes discussions on the declining trend of diesel cars in India due to strict emission regulations and 10-year lifespan rules in Delhi-NCR."
"IAB2-10","Electric Vehicle","Information on battery electric vehicles (BEVs) and green mobility. Covers the rapidly expanding Indian EV ecosystem (Tata Nexon EV, Ola Electric, Ather), lithium-ion battery technology, FAME II government subsidies, charging infrastructure, and range anxiety solutions."
"IAB2-11","Hatchback","Content on small to medium passenger cars with an upward-opening rear hatch. Hatchbacks are the backbone of Indian roads (e.g., Alto, Swift, i20), heavily favored for their compact size, easy parking in congested cities, excellent mileage, and first-time car buyer appeal."
"IAB2-12","Hybrid","Vehicles combining an internal combustion engine with an electric motor. Covers strong and mild hybrid technologies (like Toyota Hyryder or Honda City e:HEV), regenerative braking, and their role as a high-fuel-efficiency bridge between traditional petrol cars and fully electric vehicles."
"IAB2-13","Luxury","Content focused on premium, high-end automobile brands (such as Mercedes-Benz, BMW, Audi, JLR). Highlights advanced technology, plush interiors, status-symbol appeal, and the chauffeur-driven car culture prevalent among India's affluent demographic."
"IAB2-14","MiniVan","Information on multi-purpose vehicles (MPVs) or people carriers designed for maximum passenger space. In India, this segment (featuring the Innova and Ertiga) is crucial for large joint family transport, inter-city travel, and the commercial fleet/taxi sector."
"IAB2-15","Motorcycles","Content encompassing the massive Indian two-wheeler industry. Covers daily commuter bikes, gearless scooters (Honda Activa), performance motorcycles (KTM), and heritage cruisers (Royal Enfield). Focuses on fuel economy, urban commuting agility, and two-wheeler finance."
"IAB2-16","Off-Road Vehicles","Vehicles specifically designed or modified for rugged terrains, featuring four-wheel drive (4x4) and high ground clearance. Highlights vehicles like the Mahindra Thar and Gurkha, covering off-roading trails, mud-plugging, suspension upgrades, and adventure motoring."
"IAB2-17","Performance Vehicles","Content about sports cars, supercars, and track-focused automobiles designed for speed, handling, and high horsepower. Appeals to high-performance driving enthusiasts, covering aerodynamics, 0-100 km/h acceleration metrics, and track days at the Buddh International Circuit."
"IAB2-18","Pickup","Light motor vehicles with an enclosed cab and an open cargo area. Encompasses both the commercial goods-carrier segment (like the Bolero Pik-Up) and the emerging lifestyle utility vehicle segment (like the Isuzu V-Cross or Toyota Hilux) for adventure enthusiasts."
"IAB2-19","Road-Side Assistance","Content related to emergency vehicle breakdown services. Covers towing, flat tire repair, jump-starting dead batteries, and on-site minor mechanical fixes, particularly relevant for Indian highways, expressways, and brand-provided RSA subscription packages."
"IAB2-20","Sedan","Standard three-box configuration passenger cars featuring separate compartments for engine, passengers, and cargo (boot space). Includes compact and executive sedans (like Honda City, Hyundai Verna), valued for ride comfort, aerodynamic stability, and family travel."
"IAB2-21","Trucks & Accessories","Content concerning heavy-duty commercial vehicles, lorries, and freight transport. Covers the Indian logistics and trucking industry (Tata Motors, Ashok Leyland), cargo capacity, fleet management, commercial vehicle parts, and the unique, colorful truck art culture of India."
"IAB2-22","Vintage Cars","Information regarding classic, antique, and historically significant automobiles. Covers vehicle restoration, heritage car preservation, and prestigious vintage car rallies across India (such as the Cartier Concours d'Elegance or the Statesman rally)."
"IAB2-23","Wagon","Content on station wagons or estate cars, characterized by an extended roofline and expanded cargo area behind the passenger seats. While historically a niche segment in India (e.g., Tata Estate), content focuses on maximum utility, luggage capacity, and family touring."
"IAB3","Business","Comprehensive coverage of the corporate sector, macroeconomics, and commercial enterprises. In the Indian context, this encompasses the stock markets (BSE/NSE), foreign direct investment (FDI), Union Budget policies, MSME sector growth, the booming startup ecosystem (unicorns, venture capital), corporate governance, and key regulatory bodies like SEBI and RBI."
"IAB3-1","Advertising","Content focused on commercial messaging, media buying, and ad agencies. Covers the Indian advertising ecosystem, including print, television commercials (TVCs), Out-of-Home (OOH) media, digital programmatic advertising, localized regional ad campaigns, and compliance with the Advertising Standards Council of India (ASCI)."
"IAB3-2","Agriculture","Information concerning farming, crop production, and the rural economy. Highly relevant to India, covering Kharif and Rabi crop seasons, Minimum Support Price (MSP), APMC mandis, agricultural equipment (tractors), fertilizers, irrigation techniques, and the emerging Agritech startup sector optimizing supply chains."
"IAB3-3","Biotech/Biomedical","Content on pharmaceutical manufacturing, life sciences, and biomedical engineering. Highlights India's position as the 'Pharmacy of the World,' covering generic drug production, vaccine manufacturing (e.g., Serum Institute, Bharat Biotech), clinical trials, medical devices, and research parks in Hyderabad and Pune."
"IAB3-4","Business Software","Focuses on enterprise technology, productivity tools, and IT infrastructure. Encompasses the massive Indian IT/ITeS services sector (TCS, Infosys, Wipro), homegrown SaaS startups (Zoho, Freshworks), ERP solutions, cloud computing architecture, and software specifically designed for Indian GST billing and compliance."
"IAB3-5","Construction","Information regarding real estate development, civil engineering, and building materials. Covers Indian urban infrastructure projects (NHAI highways, Metro rail networks, Smart Cities), commercial and residential real estate trends, RERA regulations, and major domestic players like L&T, Ambuja, and UltraTech Cement."
"IAB3-6","Forestry","Content related to timber production, forest management, and silviculture. In India, this includes discussions on minor forest produce, the tribal economy, paper and pulp manufacturing, sustainable logging practices, bamboo cultivation, and regulations by the Ministry of Environment, Forest and Climate Change."
"IAB3-7","Government","Business interactions with the state and public sector. Covers Public Sector Undertakings (PSUs), government tenders (e-procurement), public-private partnerships (PPP), taxation (GST and corporate tax), and national economic initiatives like Make in India, Digital India, and the PLI (Production Linked Incentive) scheme."
"IAB3-8","Green Solutions","Focuses on sustainability, clean technology, and eco-friendly business practices. Covers India's transition to renewable energy (solar parks, wind energy), the National Green Hydrogen Mission, corporate ESG (Environmental, Social, and Governance) compliance, waste management, and the International Solar Alliance."
"IAB3-9","Human Resources","Content on workforce management, recruitment, and organizational behavior. Covers the Indian job market, talent acquisition in tier-1 and tier-2 cities, labor laws, EPFO (provident fund) regulations, corporate attrition rates, remote working trends, gig economy worker policies, and HR-tech platforms."
"IAB3-10","Logistics","Information regarding supply chain management, freight, and commercial transportation. Details India's logistics network, including the Dedicated Freight Corridors, major seaports (JNPT, Mundra), e-commerce last-mile delivery (Delhivery, Blue Dart), cold chain storage, and the National Logistics Policy."
"IAB3-11","Marketing","Content focused on brand strategy, market research, and consumer outreach. Covers B2B and B2C marketing dynamics in India, the highly competitive FMCG sector, rural marketing penetration strategies, influencer collaborations, omnichannel retailing, and targeted festive season sales campaigns (like Diwali or Big Billion Days)."
"IAB3-12","Metals","Information concerning metallurgy, mining, and metal manufacturing. A critical industrial sector in India, covering the production and export of steel, aluminum, and copper. Highlights major domestic conglomerates like Tata Steel, JSW, and Vedanta, along with discussions on global commodity pricing and raw material supply."
"IAB3","Business","Comprehensive coverage of the corporate sector, macroeconomics, and commercial enterprises. In the Indian context, this encompasses the stock markets (BSE/NSE), foreign direct investment (FDI), Union Budget policies, MSME sector growth, the booming startup ecosystem (unicorns, venture capital), corporate governance, and key regulatory bodies like SEBI and RBI."
"IAB3-1","Advertising","Content focused on commercial messaging, media buying, and ad agencies. Covers the Indian advertising ecosystem, including print, television commercials (TVCs), Out-of-Home (OOH) media, digital programmatic advertising, localized regional ad campaigns, and compliance with the Advertising Standards Council of India (ASCI)."
"IAB3-2","Agriculture","Information concerning farming, crop production, and the rural economy. Highly relevant to India, covering Kharif and Rabi crop seasons, Minimum Support Price (MSP), APMC mandis, agricultural equipment (tractors), fertilizers, irrigation techniques, and the emerging Agritech startup sector optimizing supply chains."
"IAB3-3","Biotech/Biomedical","Content on pharmaceutical manufacturing, life sciences, and biomedical engineering. Highlights India's position as the 'Pharmacy of the World,' covering generic drug production, vaccine manufacturing (e.g., Serum Institute, Bharat Biotech), clinical trials, medical devices, and research parks in Hyderabad and Pune."
"IAB3-4","Business Software","Focuses on enterprise technology, productivity tools, and IT infrastructure. Encompasses the massive Indian IT/ITeS services sector (TCS, Infosys, Wipro), homegrown SaaS startups (Zoho, Freshworks), ERP solutions, cloud computing architecture, and software specifically designed for Indian GST billing and compliance."
"IAB3-5","Construction","Information regarding real estate development, civil engineering, and building materials. Covers Indian urban infrastructure projects (NHAI highways, Metro rail networks, Smart Cities), commercial and residential real estate trends, RERA regulations, and major domestic players like L&T, Ambuja, and UltraTech Cement."
"IAB3-6","Forestry","Content related to timber production, forest management, and silviculture. In India, this includes discussions on minor forest produce, the tribal economy, paper and pulp manufacturing, sustainable logging practices, bamboo cultivation, and regulations by the Ministry of Environment, Forest and Climate Change."
"IAB3-7","Government","Business interactions with the state and public sector. Covers Public Sector Undertakings (PSUs), government tenders (e-procurement), public-private partnerships (PPP), taxation (GST and corporate tax), and national economic initiatives like Make in India, Digital India, and the PLI (Production Linked Incentive) scheme."
"IAB3-8","Green Solutions","Focuses on sustainability, clean technology, and eco-friendly business practices. Covers India's transition to renewable energy (solar parks, wind energy), the National Green Hydrogen Mission, corporate ESG (Environmental, Social, and Governance) compliance, waste management, and the International Solar Alliance."
"IAB3-9","Human Resources","Content on workforce management, recruitment, and organizational behavior. Covers the Indian job market, talent acquisition in tier-1 and tier-2 cities, labor laws, EPFO (provident fund) regulations, corporate attrition rates, remote working trends, gig economy worker policies, and HR-tech platforms."
"IAB3-10","Logistics","Information regarding supply chain management, freight, and commercial transportation. Details India's logistics network, including the Dedicated Freight Corridors, major seaports (JNPT, Mundra), e-commerce last-mile delivery (Delhivery, Blue Dart), cold chain storage, and the National Logistics Policy."
"IAB3-11","Marketing","Content focused on brand strategy, market research, and consumer outreach. Covers B2B and B2C marketing dynamics in India, the highly competitive FMCG sector, rural marketing penetration strategies, influencer collaborations, omnichannel retailing, and targeted festive season sales campaigns (like Diwali or Big Billion Days)."
"IAB3-12","Metals","Information concerning metallurgy, mining, and metal manufacturing. A critical industrial sector in India, covering the production and export of steel, aluminum, and copper. Highlights major domestic conglomerates like Tata Steel, JSW, and Vedanta, along with discussions on global commodity pricing and raw material supply."
"IAB4","Careers","Broad content encompassing professional development, workforce trends, and the job market. Includes labor market analysis, industry-specific hiring trends in India, workplace culture, salary benchmarks, and professional upskilling resources across both private and public sectors."
"IAB4-1","Career Planning","Strategic content for long-term professional growth. Includes advice on skill development, choosing career paths in growing sectors (like AI, Data Science, or Green Energy), mentorship, networking, and transitions between industries or roles."
"IAB4-2","College","Information related to higher education as a gateway to careers. Covers entrance exams (JEE, NEET, CAT, GATE), campus placement preparation, university selection, undergraduate/postgraduate degree programs, and the transition from academic life to corporate environments."
"IAB4-3","Financial Aid","Content concerning funding for higher education and professional training. Includes information on education loans (from banks like SBI, HDFC), interest subsidies, government grants, and financial planning for expensive professional courses or overseas studies."
"IAB4-4","Job Fairs","Coverage of recruitment events, campus placement drives, and job melas. Focuses on the ecosystem of offline and digital hiring events, job expos organized by universities, and industry-specific hiring conclaves where candidates interact directly with recruiters."
"IAB4-5","Job Search","Practical guidance and platforms for finding employment. Covers popular Indian job portals (Naukri, LinkedIn, Indeed), networking strategies, headhunting agencies, and tips for navigating the recruitment process in a competitive market."
"IAB4-6","Resume Writing/Advice","Content on creating impactful professional profiles. Includes advice on crafting resumes, CV formats, LinkedIn profile optimization, cover letter writing, and building portfolios that stand out in Indian applicant tracking systems (ATS)."
"IAB4-7","Nursing","Specialized content regarding careers in the healthcare and nursing sector. Covers nursing degree programs (B.Sc. Nursing), entrance examinations, career paths in hospitals and clinics, medical tourism, and international nursing opportunities for Indian professionals."
"IAB4-8","Scholarships","Information on merit-based and need-based financial awards. Covers government-funded scholarships (like AICTE or UGC grants), private corporate scholarships, and fellowships for students pursuing professional or technical education in India."
"IAB4-9","Telecommuting","Information on remote work, hybrid models, and digital nomadism. Covers the rise of WFH (Work From Home) culture in India’s IT/ITeS sector, tools for distributed teams, digital productivity, and legal/policy aspects of remote employment."
"IAB4-10","Government Jobs","Information regarding public sector employment. Highly specific to the Indian context, covering UPSC (Civil Services), SSC (Staff Selection Commission), Banking (IBPS/SBI PO), Railways, and State Public Service Commissions. Includes exam notifications, preparation tips, and eligibility criteria."
"IAB4-11","Career Advice","General professional guidance and soft-skills development. Includes articles on workplace communication, conflict resolution, leadership training, preparing for group discussions and personal interviews (GD/PI), and general career motivation."
"IAB5","Education","Comprehensive coverage of the Indian education system, encompassing primary schooling, higher education, and lifelong learning. Includes policies like the National Education Policy (NEP 2020), the Right to Education (RTE) Act, digital literacy, the massive Indian EdTech ecosystem, and both traditional classroom and online pedagogies."
"IAB5-1","7-12 Education","Content focused on secondary and higher secondary schooling in India (Classes 7 to 12). Covers major educational boards (CBSE, ICSE, and various State Boards), board examination preparation, curriculum updates, foundational coaching for competitive exams (JEE, NEET), and STEM vs. Commerce stream selections."
"IAB5-2","Adult Education","Information regarding continuing education for mature learners. Covers adult literacy programs, the Skill India initiative, vocational training, night schools, polytechnic diplomas, and professional upskilling courses designed for workforce integration and non-traditional students."
"IAB5-3","Art History","Study of historical visual arts, architecture, and cultural artifacts. In the Indian context, this covers academic curriculum focused on ancient Indian architecture (Dravidian and Nagara styles), Mughal and Rajput paintings, classical antiquity, and preparation for humanities and fine arts degrees."
"IAB5-4","College Administration","Content related to the management and governance of higher education institutions. Covers regulatory bodies like the University Grants Commission (UGC), AICTE, and the Medical Council of India (MCI/NMC), NAAC accreditation processes, institutional funding, and academic policy implementation."
"IAB5-5","College Life","Discussions on the campus culture and student experience in Indian universities. Covers life at premier institutes (IITs, NITs, IIMs, Delhi University), hostel living, cultural fests (like IIT Bombay's Mood Indigo), student unions, college societies, and the transition from school to independent college life."
"IAB5-6","Distance Learning","Content concerning remote education and correspondence courses. Highlights India's open universities (such as IGNOU and YCMOU), online degree programs, massive open online courses (MOOCs like SWAYAM), and the rapid expansion of virtual classrooms and EdTech platforms bridging the rural-urban divide."
"IAB5-7","English as a 2nd Language","Information focused on English language acquisition for non-native speakers. Covers spoken English coaching centers, vernacular-to-English transition strategies, and preparation for international proficiency tests (IELTS, TOEFL, PTE) commonly required for overseas education and global employment."
"IAB5-8","Language Learning","Content regarding the study of regional and foreign languages. Covers learning indigenous Indian languages (Hindi, Tamil, Sanskrit, Bengali, etc.) as well as acquiring global languages (French, German, Spanish) through institutions like the Goethe-Institut (Max Mueller Bhavan) or the Alliance Française."
"IAB5-9","Graduate School","Information concerning postgraduate studies and research programs. Covers Master's degrees (M.Tech, MA, M.Sc), Ph.D. research fellowships (UGC-NET, JRF), the GATE examination, academic publishing, thesis defense, and admissions into premier Indian research institutions like IISc and TIFR."
"IAB5-10","Homeschooling","Content focused on alternative education models outside traditional formal schooling. Covers the niche but growing urban Indian trend of unschooling, customized home curriculums, and utilizing the National Institute of Open Schooling (NIOS) board for standardized testing and certification."
"IAB5-11","Homework/Study Tips","Practical guidance for academic success and exam preparation. Covers revision techniques, time management for board exams, rote learning vs. conceptual understanding, memory aids (mnemonics), creating study timetables, and utilizing online doubt-solving apps and peer study groups."
"IAB5-12","K-6 Educators","Resources and content tailored for primary school teachers and early childhood education. Covers foundational literacy and numeracy (FLN), Montessori and Waldorf pedagogies, Anganwadi curriculum, classroom management, and child psychology for students from Kindergarten through 6th grade."
"IAB5-13","Private School","Information regarding independent, unaided, and fee-charging schools. Covers premium international boards (IB, IGCSE), prestigious Indian boarding schools (like The Doon School, Mayo College), elite day schools, school fee structures, and the competitive nursery admission process in metropolitan cities."
